hour,B(t)
0,33.142257701324176
1,31.855235116600003
2,30.344178914710444
3,29.415834493896703
4,28.876285630000005
5,28.610056068927477
6,28.317249798995608
7,27.90445510876704
8,28.264583813099453
9,29.371061135469784
10,30.633280573968683
11,32.16189156773022
12,33.205071673165385
13,33.797930796074176
14,34.388532950226924
15,34.87734913065935
16,35.025040811857146
17,34.75429924560879
18,34.39223868809671
19,34.434114508296155
20,34.745924339213744
21,34.66523368048462
22,34.21281997778462
23,33.80099016746374
