hour,B(t)
0,101.83518834951457
1,99.11331067961166
2,96.37349999999999
3,94.98532330097086
4,94.13758155339805
5,93.06553689320388
6,92.30130485436894
7,90.86413689320389
8,93.0927213592233
9,97.09543495145631
10,100.45045242718447
11,103.10727378640776
12,105.19407766990291
13,105.92432427184467
14,106.70408834951456
15,107.31780291262136
16,108.60930873786407
17,109.61532621359223
18,109.2547326923077
19,107.83246476190476
20,105.61365192307692
21,105.2116423076923
22,103.36609711538462
23,102.53324615384615
