hour,B(t)
0,33.010808304268856
1,32.01654012077827
2,30.997124343544023
3,30.291548424991305
4,30.191502108754893
5,29.928324191477174
6,29.75181198795326
7,29.3984639285837
8,30.158206853989135
9,31.55709287335598
10,32.19751433027718
11,33.28176792504076
12,34.15860115666522
13,34.274576359584785
14,34.280473617071195
15,34.74167100805218
16,34.95307363268152
17,35.30132209737337
18,35.701503698931525
19,34.895881941975546
20,35.063504012703284
21,34.835247506056284
22,34.505439815984154
23,33.94737529896886
