hour,B(t)
0,28.187200385774663
1,27.38075765041036
2,26.490507869060636
3,26.007678431011712
4,25.81661567707838
5,25.473842607771626
6,25.29030636596577
7,24.90620421301667
8,25.56521330063604
9,26.743532054970725
10,27.53471378733874
11,28.56065964821487
12,29.404258713100454
13,29.65130621289955
14,29.975859374969822
15,30.149359519193244
16,30.3265559223937
17,30.477344516270723
18,30.53219289718251
19,30.04757910258879
20,29.77605895306878
21,29.543410971367425
22,29.150276249175565
23,28.79202453482851
