hour,B(t)_final
0,31.41529785989046
1,30.612275791217286
2,29.84734616783536
3,29.275729794054108
4,28.965913009636076
5,28.78691621756871
6,28.69453400981444
7,28.913321774152127
8,29.257373059112687
9,29.251477691507908
10,29.425650829621862
11,29.7730585517237
12,30.227343604939374
13,30.48197339424336
14,30.65891154261674
15,30.84682331887467
16,30.94578785841003
17,31.251087132418064
18,31.90276054314316
19,32.59727367470294
20,32.933421123683864
21,32.9153919711679
22,32.539635651569505
23,32.10178181939417
