hour,B(t)
0,33.656244805595165
1,32.46435010143871
2,31.18735183313871
3,30.15006248077581
4,29.51889106701613
5,29.035231268764516
6,28.795528025169357
7,28.70428084201452
8,28.881100975608067
9,29.59973801123226
10,30.38172801584839
11,31.03842733179355
12,31.868638860593553
13,32.56222021649839
14,32.95131971120968
15,33.107812534782255
16,33.1848750815371
17,33.54986854110807
18,34.00799901908871
19,34.73230697856291
20,35.281683694308065
21,35.10959003963226
22,34.87555913797259
23,34.5956725514113
