hour,B(t)
0,88.9881435483871
1,86.7877064516129
2,85.8810870967742
3,85.66330483870968
4,85.92303225806452
5,86.02144032258064
6,86.54896451612903
7,92.07422096774194
8,98.86101451612903
9,94.57954193548387
10,93.28736129032258
11,92.89372903225807
12,92.50172258064515
13,91.9435435483871
14,92.29523225806452
15,92.18875322580645
16,92.48881774193549
17,92.96632580645161
18,95.80236774193548
19,99.69342741935485
20,100.50327419354839
21,99.88539838709677
22,98.2754193548387
23,93.51481451612902
