hour,B(t)
0,108.84035806451614
1,105.39130322580645
2,102.49074838709677
3,100.56134516129032
4,100.04833548387097
5,99.57404838709678
6,99.36756451612902
7,98.3447870967742
8,99.55146451612903
9,101.70027096774193
10,101.9745129032258
11,103.75228064516128
12,105.90753548387097
13,106.52056129032259
14,106.27857096774193
15,107.90146774193548
16,108.59515161290322
17,110.59231612903226
18,114.81893548387097
19,116.21274193548386
20,116.76446774193548
21,116.31922903225806
22,114.18332258064517
23,112.22488387096774
