hour,B(t)
0,32.15950939577864
1,31.663753052993204
2,30.980136316255887
3,30.487259642921362
4,30.19469995222913
5,30.05866805996214
6,29.910965113056314
7,29.87624502013981
8,29.62580617645146
9,29.371382420767965
10,29.6172669980233
11,29.932023544813596
12,30.281784150401943
13,30.506611718574757
14,30.666549952928158
15,30.819945021537865
16,30.73855237599903
17,30.79774674276505
18,31.08956007639231
19,32.17499986062572
20,32.4368212715452
21,32.58930357665385
22,32.38101407176731
23,32.38636797169904
