hour,B(t)
0,26.81765018915082
1,26.31600463178261
2,26.098231057735326
3,25.954055257118483
4,25.93478042342609
5,25.99659148649185
6,26.13662447367935
7,27.115256554264676
8,27.641611273876087
9,27.068737585567938
10,26.91978456837337
11,26.723356438344567
12,26.828818515527722
13,26.833120447396738
14,26.819738729970112
15,26.828818515527722
16,26.91978488692881
17,27.010589910002178
18,27.517033640717933
19,28.410467692530055
20,28.66819673215137
21,28.61359788027088
22,28.23555331084481
23,27.534768982160656
