hour,B(t)
0,114.26668016528926
1,112.22496280991736
2,109.99064793388429
3,108.45811983471076
4,107.15951983471075
5,106.60073140495868
6,106.18660661157026
7,105.08639421487604
8,105.74189256198348
9,106.67264876033057
10,105.7270132231405
11,106.86855950413224
12,108.59120495867768
13,108.84993388429753
14,109.48559008264463
15,110.76434958677686
16,111.56615537190083
17,113.77154049586777
18,117.12839090909091
19,117.34578099173554
20,118.32949916666666
21,118.29949666666667
22,116.47914666666667
23,115.51479166666667
