hour,B(t)
0,107.47368371040723
1,105.54288963963964
2,103.47789185520361
3,102.03275315315315
4,101.1032945945946
5,100.88613513513515
6,101.01994549549549
7,101.54392117117116
8,101.11185630630631
9,100.75322522522522
10,100.90370315315316
11,101.43984414414415
12,102.59186846846848
13,103.25731666666667
14,103.61954279279279
15,104.21740900900902
16,104.51431441441441
17,105.10767162162162
18,106.83362286995515
19,109.19807533632287
20,110.43307601809956
21,110.52313981900453
22,109.51118099547512
23,108.65037828054298
