hour,B(t)
0,149.86762903225807
1,145.2848064516129
2,140.0334741935484
3,134.9395887096774
4,130.53357903225807
5,128.50350967741934
6,125.70425483870969
7,124.76988548387097
8,126.00108870967742
9,130.25739354838709
10,135.78748548387097
11,143.3618629032258
12,149.56950161290322
13,151.7686435483871
14,155.29706451612904
15,156.94770483870968
16,157.86013387096773
17,157.56846451612904
18,158.9751870967742
19,159.05004677419353
20,158.35572258064516
21,156.03784677419355
22,154.6040306451613
23,152.0125612903226
