hour,B(t)
0,43.16948236672334
1,40.88387145979333
2,39.22046884702667
3,37.71496605073666
4,36.01560851078667
5,35.011156503453336
6,33.796435822653336
7,33.36573477344
8,33.99419720274334
9,37.482805950473335
10,39.77936501306
11,41.46622112105334
12,43.153065506206666
13,43.931612525320006
14,44.91574103570667
15,45.85765852996334
16,45.86859887039334
17,45.693506532153336
18,47.20291987248667
19,46.18049089001333
20,46.10154147022667
21,45.992104851213334
22,45.20808815033667
23,44.58196833522667
