hour,B(t)
0,49.895607658937095
1,49.03967300485001
2,48.51885322188387
3,47.79681278109839
4,47.3414267712242
5,46.44464747364032
6,45.83342568646774
7,45.840612543700004
8,46.072089946098394
9,46.9476882462
10,47.63909236819194
11,48.58239574163549
12,49.416392140591945
13,50.08850415496613
14,51.05941812547581
15,51.51215846053226
16,52.636255443095166
17,52.719465390422585
18,52.724382838185484
19,52.730435227030654
20,52.24440864410646
21,52.12715944551936
22,51.43348496866774
23,50.843449851319356
