hour,B(t)
0,38.714775529812904
1,37.50217441411613
2,36.19349895227742
3,35.657928716803234
4,35.09209464632258
5,35.00435013431291
6,34.23276604097742
7,34.28949324189355
8,34.6654551199871
9,35.4665438999
10,36.74268564456774
11,38.17920434894839
12,39.358522052948395
13,40.56507267058065
14,41.61125389162258
15,41.68538761915807
16,41.84121725141935
17,42.025038000351614
18,42.277693564061295
19,42.43503582083871
20,42.09085040226775
21,41.31699075442581
22,40.739055687816126
23,40.38049655478065
