hour,B(t)
0,42.62268040351429
1,41.266562787923625
2,39.64746821627638
3,38.407571287324174
4,37.470463560526376
5,36.78950713398957
6,36.044124362027475
7,35.69559305686594
8,36.25440393172363
9,37.54545447138956
10,39.34351687488737
11,41.35675619331374
12,42.94222118976703
13,43.65925691079616
14,44.630250408370884
15,45.098352427140114
16,45.49429891645715
17,45.3717656093011
18,45.61051992515166
19,45.36223162320385
20,45.05222466202033
21,44.66246100463517
22,44.164081369977474
23,43.37257228214781
