hour,B(t)
0,136.71920097087377
1,132.93672330097087
2,129.75052843137254
3,126.20454563106796
4,122.69474368932039
5,119.92139708737864
6,116.79768737864077
7,115.31545533980582
8,119.39002718446602
9,128.31913300970874
10,133.8961359223301
11,137.87825922330097
12,140.74716019417477
13,142.93865145631068
14,144.71374854368932
15,146.2332699029126
16,147.33561456310682
17,147.2043300970874
18,149.6111778846154
19,149.5206257142857
20,145.19263653846153
21,143.6692576923077
22,141.56424134615384
23,139.3592048076923
