hour,B(t)
0,45.966888349751365
1,45.05587257332718
2,44.49357827028587
3,43.890244948414676
4,43.4262120955087
5,42.680266602372285
6,42.075530840199455
7,42.269505137714134
8,42.901259975476634
9,44.03120126852989
10,44.82978231326631
11,45.54361200313424
12,46.22953082147283
13,46.89888204948152
14,47.520693975735874
15,47.7866753401174
16,48.20559262029457
17,48.13435024574892
18,48.344638244911955
19,48.298581564558475
20,48.093936010737714
21,47.789084036981976
22,47.262543549940986
23,46.706658167951375
