hour,B(t)
0,119.59663471074381
1,116.95083471074379
2,113.48371404958677
3,110.9450479338843
4,109.25545867768595
5,108.00431652892563
6,105.67262809917356
7,105.45969090909091
8,106.36234214876033
9,109.80300743801652
10,114.61715537190084
11,118.78523388429753
12,122.52546280991736
13,125.30021157024794
14,126.95871487603307
15,128.1225743801653
16,129.53507520661157
17,130.19239917355372
18,129.64881818181817
19,129.0469
20,127.6819725
21,125.48755
22,123.26345867768596
23,122.33227666666667
