hour,B(t)
0,43.00308884828723
1,41.91099632102337
2,40.79239671639239
3,39.838266645628806
4,39.17458705821984
5,38.519447862378534
6,37.82358764567011
7,37.66638237029865
8,38.11595121368832
9,39.213713948052444
10,40.57478074764647
11,42.07960874795897
12,43.26473634561739
13,43.88877983233125
14,44.615863419257614
15,45.030256973344294
16,45.495946234872285
17,45.53978838225054
18,45.62333026177202
19,45.46402164450354
20,45.143110333002994
21,44.81761182324158
22,44.32445671212663
23,43.633886904801365
