hour,B(t)
0,78.85917747252748
1,74.13738626373626
2,69.4617532967033
3,66.05890000000001
4,63.58061923076922
5,61.718284065934064
6,59.07117747252747
7,56.04685494505494
8,55.22779835164835
9,58.21782967032967
10,60.983633516483515
11,64.25855164835164
12,67.34222527472528
13,68.91044065934065
14,70.36390934065933
15,73.11520604395605
16,76.10655604395605
17,78.00846043956044
18,81.41263791208792
19,81.27942362637363
20,81.44692307692308
21,81.77402417582418
22,80.66479835164836
23,79.97103791208791
