hour,B(t)
0,24.38283153521913
1,23.612190040704895
2,22.78633555386413
3,22.13673906331033
4,21.555199074398914
5,21.055479889633695
6,20.290034025557066
7,18.770995426576633
8,19.121985538617935
9,20.072101492347826
10,20.63796409409185
11,21.353322372213587
12,21.995655480298915
13,22.55234304841033
14,22.831833552392393
15,23.299436296778264
16,24.056469271100003
17,25.61030081322283
18,25.966642815846196
19,25.915937984347543
20,25.745249750541532
21,25.541887943789618
22,24.949865626315304
23,24.49047395114973
