hour,B(t)
0,54.32386446280992
1,51.707164462809914
2,48.94762231404959
3,46.506020491803284
4,45.15251157024794
5,43.31942809917356
6,39.31998595041322
7,37.062357024793386
8,37.332161983471075
9,39.03827520661157
10,41.220510743801654
11,43.16072396694215
12,45.00570743801653
13,46.6900041322314
14,48.713527272727276
15,50.38592314049587
16,54.27427107438017
17,56.03196859504132
18,57.47621652892562
19,57.073496694214874
20,57.217035833333334
21,56.89897833333334
22,56.12683083333333
23,54.90116859504132
