hour,B(t)
0,22.55234288913261
1,21.485421975214404
2,20.387531739037502
3,19.57524962505109
4,18.911506884027176
5,18.361892441150818
6,17.522655360855982
7,16.446175554006253
8,16.37372298736386
9,17.27050296573152
10,17.967507672478263
11,18.81018618677391
12,19.570088230619024
13,20.04744044372527
14,20.417545713547284
15,21.094097011131794
16,21.936966260494025
17,22.73892494850544
18,23.52234132104674
19,23.49366567755734
20,23.458870982360054
21,23.44185805153234
22,23.035047868848373
23,22.695147627158157
