hour,B(t)_final
0,20.710568319714643
1,20.468076103044105
2,20.32904939271082
3,20.249944284469425
4,20.05022439711889
5,21.02673263405304
6,43.7138589445608
7,55.68530481828261
8,59.84210026115103
9,57.54741771271999
10,56.19589838032918
11,55.32651996607525
12,54.446953422534875
13,54.130145184719666
14,54.03507691559662
15,53.6999312403633
16,53.64745777020171
17,51.6478825976864
18,51.821280644766205
19,53.476023573412576
20,57.06632654900477
21,58.698718553195064
22,58.221065832867126
23,33.50347367418343
