hour,B(t)
0,5.9769665506161305
1,5.796362019561291
2,5.723172736958065
3,5.619727182470968
4,5.567343104696774
5,5.809785616751613
6,11.788266209969356
7,16.83705799577903
8,17.902150804833873
9,17.173114948356453
10,16.520669416167742
11,16.226217673601614
12,15.88637821434355
13,15.880896368558066
14,15.865767759920969
15,15.672679349656452
16,15.821894558525807
17,15.183250779656452
18,14.78081560905484
19,16.574946638062904
20,17.603729368303227
21,17.5558822186871
22,17.272967546922583
23,9.616474909153226
