hour,B(t)
0,6.290517950843334
1,6.0571865434833345
2,6.01810454873
3,6.008725299826667
4,6.0423376128166675
5,6.414020024050001
6,11.913876377543335
7,14.80841457782
8,16.6058717736
9,15.357929541143335
10,14.653643782720001
11,14.284302031873333
12,14.28898921406667
13,14.318694890626666
14,14.497307988480001
15,14.602050586976668
16,14.53169987033
17,13.861416209326668
18,13.514744477233334
19,13.282196546346666
20,15.54983145504
21,15.738996085796668
22,15.207848858946669
23,9.775218108336668
