hour,B(t)
0,21.11245806451613
1,21.719035483870968
2,21.464787096774195
3,21.22473870967742
4,20.340693548387097
5,21.57448064516129
6,65.07191612903226
7,82.95020000000001
8,83.87683225806451
9,77.32202258064517
10,72.48753870967741
11,70.44972903225806
12,68.93975161290324
13,68.40933225806451
14,67.02583225806451
15,66.1959935483871
16,67.31750967741935
17,65.7404193548387
18,70.61104838709677
19,74.14720967741935
20,76.50249677419355
21,75.86109032258065
22,75.9682064516129
23,38.75457741935484
