hour,B(t)
0,5.763339442093407
1,5.753675506382418
2,5.7405968104373635
3,5.673982738305495
4,5.566137602174177
5,5.839035977748902
6,12.178837059273077
7,16.084844835875277
8,17.236866196785716
9,16.687590918305496
10,16.280498230335166
11,15.974872197517582
12,15.813555935380222
13,15.76961879547143
14,15.684065412534617
15,15.581565440564836
16,15.647602871350001
17,15.066821172145605
18,15.230521615176375
19,16.313419604288462
20,17.41738295717967
21,17.32570728884725
22,17.248851029377473
23,9.519945419904396
