hour,B(t)
0,22.01201553398058
1,21.563384466019418
2,21.459436274509805
3,21.56416504854369
4,21.594463106796116
5,22.704571844660197
6,41.64026990291262
7,53.28290679611651
8,56.69326990291262
9,53.49692427184466
10,52.106758252427184
11,51.47129805825243
12,50.909233009708736
13,50.3487427184466
14,50.31184660194175
15,49.84457378640777
16,49.369523300970876
17,47.27203398058253
18,46.16930096153846
19,47.45392857142858
20,52.55591153846154
21,54.75864519230769
22,53.78614903846154
23,33.93578076923077
