hour,B(t)
0,6.4609187713768605
1,6.421190938563637
2,6.39163436490248
3,6.358396964805785
4,6.282038163481818
5,6.646098468112397
6,16.831724154364462
7,20.3974141355438
8,20.58181973730744
9,19.33072313242893
10,18.289610203598347
11,17.602480054524793
12,17.08299039277025
13,16.73394985578595
14,16.503903411024794
15,16.32076043663554
16,16.389851077159506
17,16.29421159493967
18,18.000454729041323
19,19.0370715612
20,19.342802251496668
21,19.164582113009168
22,19.29238622427
23,10.627730874881667
