hour,B(t)
0,6.275635544661086
1,6.225237547316216
2,6.209051537408145
3,6.209498182462613
4,6.159798357393243
5,6.43708101535901
6,12.92840419225946
7,16.35609594120766
8,17.55754895460135
9,16.756650466429733
10,16.369194894768018
11,16.113936522452253
12,15.841562935750451
13,15.718978597218468
14,15.673398531922524
15,15.605900980273423
16,15.501376944095496
17,14.863944614788288
18,14.83914371613767
19,15.222908140663513
20,16.16154152604751
21,16.937998661606336
22,16.777136100657014
23,10.080776713353847
