hour,B(t)_final
0,14.530231138549064
1,14.323185756637724
2,14.264216298323266
3,14.220202877500162
4,14.430875751270909
5,14.558779249956956
6,21.267795611182482
7,23.121004679854614
8,25.023584200418256
9,26.71178433900738
10,27.837232743045256
11,28.318540538028248
12,28.689315770504457
13,28.62782025460218
14,28.488911982414812
15,28.046201846536064
16,27.44699822070367
17,26.02387980210679
18,24.557844802850376
19,24.109674154814318
20,23.74587226552773
21,23.6954401001179
22,17.241769668355694
23,15.103096557271314
