hour,B(t)
0,15.637409200196775
1,15.471934223169354
2,15.424656671222582
3,15.343337504540324
4,15.529139318893549
5,15.587293113806451
6,21.516508944619353
7,23.662487780762905
8,26.200405118756454
9,28.497672404746776
10,29.53212984039839
11,30.125475714656453
12,30.31317067313065
13,30.40915000754516
14,30.119329259474195
15,29.61344900708065
16,29.033340015424194
17,27.323742952890324
18,25.667577460608065
19,25.426926463214517
20,24.26198105559355
21,23.823706137862906
22,17.83775885187742
23,16.017528904929033
