hour,B(t)
0,15.112015457821979
1,14.932272115017582
2,14.869782131556594
3,14.83740873596209
4,15.027458355257146
5,15.10267309507088
6,20.65180388373187
7,22.536356692226377
8,25.07593671207473
9,27.10705255636099
10,28.055529666650553
11,28.55368515030165
12,28.901410188157143
13,29.071489756278574
14,28.955849897715385
15,28.48668493297308
16,27.8764314021022
17,26.396458922379125
18,24.935011589388463
19,24.364537937982966
20,23.436676118151098
21,22.953338272054395
22,17.331248102055493
23,15.525291138752198
