hour,B(t)
0,13.890833576104857
1,13.648933341774757
2,13.589050618011767
3,13.55985540719709
4,13.746546186756312
5,13.918724261116505
6,21.864185515259226
7,23.876237434938837
8,25.909346932770877
9,27.540900220591265
10,28.651937503220392
11,29.156799818057284
12,29.487208632527185
13,29.436268624702915
14,29.267792350061168
15,28.791673471485442
16,28.18094366819029
17,26.82970909291554
18,25.12667016042212
19,24.772939665684763
20,24.420628305537498
21,24.695716863496155
22,17.120058079923076
23,14.617485640856732
