hour,B(t)
0,14.63534598590226
1,14.450859462053934
2,14.3441470422618
3,14.28420529649045
4,14.447731176098877
5,14.545550043567417
6,20.527493516557865
7,21.763898158425285
8,23.41743404752528
9,24.44008834342247
10,25.578343836683146
11,26.000580117301126
12,26.606873949393222
13,26.454268843497754
14,26.4343436377236
15,26.09823417349382
16,25.514380922607263
17,24.111952523204472
18,22.503516331560895
19,22.149845710818646
20,22.277363883301696
21,22.58705217457853
22,16.962978621523163
23,15.051356627711865
