hour,B(t)
0,14.335635056460331
1,14.153702634846281
2,14.13698571968182
3,14.123662372931406
4,14.387718859516529
5,14.473477247095042
6,21.079746397477685
7,23.086582283566944
8,24.474698300413227
9,26.11887698956033
10,27.1804353748562
11,27.712423667034713
12,27.92294528580248
13,27.71533257836529
14,27.497061290410745
15,27.115268979242977
16,26.523199921027278
17,25.337123418469425
18,24.53720162524546
19,24.06674971332834
20,23.639272689340835
21,23.411854722083334
22,17.018008972995837
23,14.969293216785834
