hour,B(t)_final
0,1.4193715518485326
1,1.3990702168023672
2,1.3616900987963845
3,1.3647733299861098
4,1.3489263374453622
5,1.3350186565778288
6,1.3011138775171518
7,1.1854452200518222
8,1.1104595383010258
9,1.385419268233855
10,1.7186538132337634
11,2.014913166921918
12,2.3257808858000226
13,2.583690030473959
14,2.7473940885211805
15,2.8302155235381243
16,2.764178869015398
17,2.6985806353256176
18,2.7380572281033047
19,2.570560268123223
20,2.3914109708824407
21,2.2183882716753134
22,1.682521885542736
23,1.489398290933585
