hour,B(t)
0,1.505049576169355
1,1.508903459819355
2,1.4266975170145162
3,1.4531887719387098
4,1.3579496781467744
5,1.360428964267742
6,1.4163932351935484
7,1.221216930401613
8,1.2074856086612902
9,1.2468847503548388
10,1.5752292086806454
11,1.9884007044806453
12,2.2330176142774194
13,2.5233403646096777
14,2.675924471893549
15,2.787094810706452
16,2.70259440558871
17,2.668931892372581
18,2.579892195620968
19,2.6343618044467743
20,2.410718851651613
21,2.2372784884612904
22,1.6664678833225808
23,1.5040233549741937
