hour,B(t)
0,1.8088049049000001
1,1.8543197765903228
2,1.7461940673112906
3,1.7125348629612904
4,1.683808232619355
5,1.6549232493983872
6,1.5836115119758065
7,1.5747806209725808
8,1.5549411323580646
9,1.9396398351177422
10,2.511124976251613
11,2.9079700538758066
12,3.4122209260483873
13,3.6552174368322583
14,3.775161943229033
15,3.813689435045162
16,3.675687500791936
17,3.5299054768790326
18,3.3233523449451616
19,3.179648761656452
20,3.0412899425564515
21,2.889231944987097
22,2.170235661040323
23,1.9724325892370969
