hour,B(t)
0,1.4579878069664836
1,1.4524999719774727
2,1.3937503474109891
3,1.3795632955906594
4,1.3467625316258243
5,1.3286557356945055
6,1.3125368306945056
7,1.1579000109087914
8,1.0755216174813187
9,1.2360694538978023
10,1.6321708521719782
11,1.9713093928115386
12,2.3296113952626376
13,2.530193374391209
14,2.6718044764510993
15,2.727069454621978
16,2.655355625034066
17,2.6257361306714286
18,2.6370623586532966
19,2.5652216389840663
20,2.3883631131934067
21,2.2016139242368133
22,1.6548667857016486
23,1.4904971102115387
