hour,B(t)
0,1.1580528597719009
1,1.1154892622743804
2,1.1216030624247935
3,1.1621185538264462
4,1.1463576314198347
5,1.167138060771901
6,1.1584876221231404
7,0.9910174066330579
8,0.8838490925710745
9,1.0609184732446282
10,1.1097474927487603
11,1.241332254222314
12,1.4878340301148762
13,1.7196553709818183
14,1.8269891127239672
15,1.9536715956520663
16,1.8803093847512398
17,1.8987144857586777
18,2.2481691974619835
19,1.9717824206775
20,1.7918075195775
21,1.6376714674183335
22,1.3247185307783336
23,1.1804653211908334
