hour,B(t)
0,1.3224119404479637
1,1.281277236913964
2,1.2523921067067876
3,1.2444966944000002
4,1.240705517382883
5,1.2265045112513515
6,1.1971197870405406
7,1.0693824154391893
8,1.0177209948792794
9,1.3600068006450452
10,1.6849729023945947
11,1.958663592414865
12,2.313702717081448
13,2.617904628568919
14,2.798993595510811
15,2.885028019923874
16,2.800844167257658
17,2.674783637026577
18,2.685905165260538
19,2.4506429362265765
20,2.2640901729547513
21,2.091396030729412
22,1.6338382026171947
23,1.4009407790375565
