hour,B(t)
0,23.77813548387097
1,23.919458064516128
2,23.623274193548387
3,23.716195161290322
4,23.78975322580645
5,23.793620967741937
6,31.06277419354839
7,33.217366129032264
8,35.53847419354839
9,38.142204838709674
10,38.99397903225806
11,39.42953709677419
12,39.3811435483871
13,39.77799516129033
14,41.11567258064516
15,41.21053225806451
16,40.35294677419355
17,37.681454838709676
18,35.102901612903224
19,36.11922419354839
20,36.36507741935483
21,26.749672580645164
22,23.063806451612905
23,23.12961935483871
