hour,B(t)
0,16.77067977775484
1,17.05435076177742
2,16.869398380629033
3,17.429932592961293
4,17.873596708225808
5,17.99046680529355
6,17.620561097606455
7,17.951891098570968
8,18.20265399085484
9,18.82900060510323
10,18.19697975813871
11,17.57744184499355
12,16.904571627580644
13,16.667420465161292
14,16.508563693087098
15,16.710539717774193
16,16.466582690422584
17,15.93100961877742
18,15.626914422225807
19,15.993420506312905
20,16.127307629187097
21,15.657549795629034
22,16.002494362629033
23,16.61749629300645
