hour,B(t)
0,7.378890431089012
1,7.384301777767583
2,7.391839660504395
3,7.427788039214835
4,7.466055382469781
5,7.43397215937088
6,9.450175037513736
7,10.234272971659891
8,10.867236928582418
9,11.630270948201648
10,11.793970747120332
11,11.937570867307693
12,11.912445987094506
13,12.020098050627475
14,12.19771340812143
15,12.230183420529121
16,12.029568430656045
17,11.38114352923132
18,10.849647837741758
19,11.01682857941154
20,11.170477975366484
21,8.261558126272528
22,7.219247572156044
23,7.26930458204011
