hour,B(t)
0,6.863029218633335
1,6.895890229248914
2,7.233496553253262
3,7.297536707973913
4,7.175379777564674
5,7.1163082912380435
6,9.690414595325
7,9.511286414570652
8,10.058607497233153
9,10.80876015199674
10,10.932446785603805
11,11.172938299760327
12,11.048871629519565
13,11.1211322665125
14,11.263935889594022
15,11.261068412847829
16,11.16739479808424
17,10.472299512613588
18,9.806837368630436
19,9.695696719655738
20,9.911171647296722
21,7.697048908804372
22,6.785758246891804
23,6.824779129134973
