hour,B(t)
0,32.57297737556561
1,33.053402702702705
2,33.27682850678733
3,34.40339054054054
4,35.03270720720721
5,35.13596531531532
6,41.502604504504504
7,42.114069819819825
8,43.7278981981982
9,45.887230180180175
10,45.65096846846846
11,45.46120225225225
12,44.439926126126124
13,44.33341621621622
14,44.51182882882883
15,44.57508603603603
16,43.92144774774775
17,41.55720900900901
18,39.9682533632287
19,40.483602690582956
20,41.34227239819005
21,33.67219592760181
22,31.079479638009047
23,31.809396380090497
