hour,B(t)
0,48.34998387096774
1,48.51001290322581
2,49.423725806451614
3,49.83670967741936
4,49.73347096774193
5,51.349254838709676
6,51.597054838709674
7,52.34042258064516
8,54.55504193548387
9,56.43927741935484
10,55.82496774193549
11,56.067600000000006
12,55.80431290322581
13,54.72023225806451
14,54.81831935483871
15,54.31757419354839
16,53.70841612903226
17,49.32565161290322
18,47.12134838709677
19,47.2917064516129
20,47.21426774193548
21,48.164135483870965
22,47.27622258064516
23,47.81310322580645
