hour,B(t)
0,40.795978512396694
1,41.76012314049587
2,41.99818595041322
3,42.53118347107438
4,42.696504958677686
5,43.37894876033057
6,45.55589586776859
7,53.81269917355372
8,57.24344132231405
9,59.081811570247936
10,58.543527272727275
11,57.89282561983471
12,56.8889958677686
13,56.154964462809914
14,55.44210165289257
15,54.81255950413223
16,54.16317768595041
17,50.23118016528925
18,48.75519173553719
19,43.25234583333334
20,40.97190583333334
21,40.8385525
22,40.25443416666667
23,40.36512833333334
