hour,B(t)
0,11.767123425933939
1,11.980307758016668
2,11.94199066973258
3,12.031012209351804
4,12.059954026713514
5,12.1195295523991
6,13.038102515754955
7,16.18000726717883
8,17.401108974940993
9,18.023700426433333
10,18.155740529162163
11,17.971942371651803
12,18.178259485471497
13,18.082431854833334
14,18.182570651156308
15,17.95546240846036
16,17.659060564135586
17,16.297469595922973
18,15.296473257741257
19,12.992318752912613
20,12.030485513657919
21,11.82548234915792
22,11.596709137388236
23,11.702395711829412
