hour,B(t)_final
0,47.19489562197889
1,47.077829943469155
2,46.9438157715011
3,46.83025703910233
4,46.612487443291215
5,46.62045673473831
6,46.1533515216622
7,46.770402439623766
8,48.88802384004121
9,51.049607191649706
10,52.255305533206396
11,52.762716264901925
12,52.83323809391196
13,53.26689483427553
14,53.55094539192627
15,53.52517229628054
16,52.98176577740954
17,52.06820149280278
18,50.85557712453033
19,50.020096754790714
20,49.15929618992931
21,48.62740727150573
22,48.196791040677795
23,47.640301892106194
