hour,B(t)
0,170.73875161290323
1,169.61982580645162
2,168.2337564516129
3,167.78076451612904
4,167.61427580645162
5,166.7857322580645
6,165.19832741935483
7,167.91627741935483
8,172.4694
9,180.17024838709676
10,185.44740161290323
11,185.85005322580648
12,185.2460629032258
13,186.83734193548386
14,186.7560419354839
15,188.3937741935484
16,186.79475
17,183.6044629032258
18,180.9600758064516
19,177.17354193548385
20,173.18566935483872
21,174.02584193548387
22,172.74043548387095
23,171.3466129032258
