hour,B(t)
0,177.66525000000001
1,176.65086774193549
2,177.09997419354838
3,178.33504516129034
4,177.56458548387099
5,178.33892903225808
6,176.33338225806452
7,180.66196129032258
8,188.4247451612903
9,194.13165483870966
10,196.5398564516129
11,198.75060806451614
12,199.43977741935484
13,200.62452258064516
14,203.57089677419356
15,203.68317096774192
16,200.6632435483871
17,195.93974516129032
18,190.7826177419355
19,188.45959193548387
20,186.24884516129035
21,183.2985951612903
22,182.09836774193548
23,180.6813177419355
