hour,B(t)
0,39.17621771009355
1,39.099058733525816
2,38.853963456225806
3,38.706455149583874
4,38.720068770229034
5,38.89708176344839
6,38.61795148914516
7,39.128555856980654
8,40.73073625297742
9,43.04550082305807
10,44.13252668759677
11,44.817880784219355
12,44.99715893265162
13,45.07205180861613
14,45.28991322689355
15,45.162827242000006
16,44.640871572561295
17,44.0848742883871
18,42.87756641310646
19,42.06059318499356
20,40.94632967987097
21,40.30863270940968
22,39.99772881175484
23,39.20798660649355
