hour,B(t)
0,167.7185197802198
1,167.36504065934065
2,166.8321934065934
3,165.88782912087913
4,165.0938368131868
5,164.8762142857143
6,164.33016978021976
7,165.4657758241758
8,172.38227252747254
9,179.62455
10,183.9203230769231
11,185.25772582417582
12,185.30520659340658
13,186.55292087912088
14,187.13985164835165
15,187.1121510989011
16,185.55184615384616
17,182.3323247252747
18,178.8213181318681
19,175.5503587912088
20,172.79773516483516
21,171.83887307692308
22,170.91166208791208
23,169.4344554945055
