hour,B(t)
0,156.1724
1,155.8376418918919
2,155.2524004524887
3,154.4979207207207
4,153.66640720720721
5,153.76913558558556
6,151.6898108108108
7,153.67614054054053
8,162.5848882882883
9,170.08579324324324
10,174.24010765765766
11,175.9939617117117
12,176.2750963963964
13,178.92031855203618
14,179.4951806306306
15,179.01292342342342
16,176.99523468468468
17,174.03142027027027
18,170.14116995515695
19,167.2881919282511
20,163.85931312217193
21,161.55877556561086
22,159.79373212669682
23,157.47255746606334
