hour,B(t)_final
0,370.50008751327874
1,356.1198864202748
2,343.96789989109413
3,325.91581126131734
4,334.51478491570214
5,399.59247215141767
6,460.2652143883835
7,464.7360528014521
8,471.97920385971656
9,485.44090467667877
10,495.1816839693139
11,509.6486322754843
12,526.3220250408972
13,530.6843357546707
14,531.5587080053307
15,535.2296256979332
16,535.0941478485215
17,536.1835999431178
18,535.9630167483009
19,537.1573327905414
20,533.9876499201524
21,517.7004029775345
22,496.7843657345587
23,426.29846831943877
