hour,B(t)
0,374.22705322580646
1,357.6303016129033
2,346.2603629032258
3,328.28270967741935
4,335.3421290322581
5,403.2907306451613
6,471.1360758064516
7,483.667535483871
8,483.9127419354839
9,493.3597258064516
10,504.8070903225806
11,521.5328951612903
12,538.8265612903226
13,536.2454112903225
14,534.4902370967742
15,539.5621887096775
16,539.1104838709678
17,538.3232338709678
18,536.5035387096774
19,546.0279596774194
20,543.1241532258065
21,532.4253258064516
22,514.9638919354838
23,436.8068774193548
