hour,B(t)
0,105.02565330679
1,101.53156999278
2,96.89624866670333
3,91.57305062749333
4,93.76955525068
5,113.39737491109668
6,129.74217219957333
7,130.20335458659335
8,132.47020797262002
9,137.7152400685167
10,141.17805075302002
11,143.93736404009002
12,147.97861188800334
13,149.26055719478336
14,150.0578636886067
15,151.70719596266335
16,153.12202161465
17,153.83334986920335
18,153.86461077587
19,153.90369863204336
20,153.30962515388
21,149.66702615681334
22,143.48399199522
23,121.73001647445668
