hour,B(t)
0,335.4195612903226
1,324.08834838709674
2,313.6605419354839
3,296.2636290322581
4,306.4849516129032
5,365.3092064516129
6,424.62387741935487
7,431.7736483870968
8,438.02000645161286
9,450.796664516129
10,458.3852322580645
11,465.0445774193548
12,484.86776451612906
13,483.8352967741936
14,485.5130483870968
15,489.17826451612905
16,485.4872387096774
17,490.08167096774196
18,496.45709354838704
19,495.14070967741935
20,491.26899032258063
21,477.45988387096776
22,453.7649870967742
23,389.85586451612903
