hour,B(t)
0,354.6703825242719
1,345.22389708737865
2,328.9811323529412
3,311.38435825242715
4,319.2383058252427
5,381.54935825242717
6,433.1865097087379
7,434.72466601941744
8,443.10686407766985
9,453.7341621359223
10,465.41796796116506
11,484.3808553398058
12,497.5717495145631
13,504.98288349514564
14,508.7661446601942
15,515.1285378640777
16,515.0741553398058
17,516.5268660194175
18,517.3459903846153
19,522.3762876190476
20,516.7843461538462
21,496.9728307692308
22,473.7683519230769
23,410.74849615384613
